fase;horario_sinal;horario_expiracao;ativo;estrategia;lado;entrada;saida;resultado;odd;stake_virtual;pnl_virtual
FORWARD_POS100;20/08/2026 14:50:00;20/08/2026 14:55:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;PUT;0.1901;0.1886;WIN;1.8;5.0;4.0
FORWARD_POS100;20/08/2026 14:55:00;20/08/2026 15:00:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1886;0.1864;WIN;1.8;5.0;4.0
FORWARD_POS100;20/08/2026 14:55:00;20/08/2026 15:00:00;XLMUSDT;XLM_CHAL_RSI14_22_78;PUT;0.1886;0.1864;WIN;1.8;5.0;4.0
FORWARD_POS100;20/08/2026 14:55:00;20/08/2026 15:00:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;PUT;0.1886;0.1864;WIN;1.8;5.0;4.0
FORWARD_POS100;20/08/2026 15:00:00;20/08/2026 15:05:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1864;0.1844;WIN;1.8;5.0;4.0
FORWARD_POS100;20/08/2026 15:00:00;20/08/2026 15:05:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;PUT;0.1864;0.1844;WIN;1.8;5.0;4.0
FORWARD_POS100;20/08/2026 22:55:00;20/08/2026 23:00:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1868;0.1859;WIN;1.8;5.0;4.0
FORWARD_POS100;20/08/2026 22:55:00;20/08/2026 23:00:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1868;0.1859;WIN;1.8;5.0;4.0
FORWARD_POS100;21/08/2026 05:55:00;21/08/2026 06:00:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1941;0.1943;LOSS;1.8;5.0;-5.0
FORWARD_POS100;21/08/2026 05:55:00;21/08/2026 06:00:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1941;0.1943;LOSS;1.8;5.0;-5.0
FORWARD_POS100;21/08/2026 06:00:00;21/08/2026 06:05:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1943;0.1901;WIN;1.8;5.0;4.0
FORWARD_POS100;21/08/2026 06:00:00;21/08/2026 06:05:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1943;0.1901;WIN;1.8;5.0;4.0
FORWARD_POS100;20/08/2026 19:20:00;20/08/2026 19:25:00;DOGEUSDT;DOGE_CHAL_RSI7_TREND_ATR01;CALL;0.07918;0.07964;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 14:15:00;20/08/2026 14:20:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72691.99;72636.11;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 14:20:00;20/08/2026 14:25:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72636.11;72724.0;LOSS;1.82;5.0;-5.0
