fase;horario_sinal;horario_expiracao;ativo;estrategia;lado;entrada;saida;resultado;odd;stake_virtual;pnl_virtual
TREINO_REPLAY;13/08/2026 00:50:00;13/08/2026 00:55:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1623;0.1623;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;13/08/2026 00:55:00;13/08/2026 01:00:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1623;0.1623;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;13/08/2026 01:00:00;13/08/2026 01:05:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1623;0.1621;WIN;1.8;5.0;4.0
TREINO_REPLAY;13/08/2026 08:45:00;13/08/2026 08:50:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1595;0.1597;WIN;1.8;5.0;4.0
TREINO_REPLAY;13/08/2026 08:45:00;13/08/2026 08:50:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;CALL;0.1595;0.1597;WIN;1.8;5.0;4.0
TREINO_REPLAY;14/08/2026 15:15:00;14/08/2026 15:20:00;DOGEUSDT;DOGE_CHAL_RSI7_TREND_ATR01;CALL;0.06974;0.06984;WIN;1.82;5.0;4.1
TREINO_REPLAY;14/08/2026 19:15:00;14/08/2026 19:20:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1572;0.1567;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;14/08/2026 19:15:00;14/08/2026 19:20:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;CALL;0.1572;0.1567;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;14/08/2026 19:20:00;14/08/2026 19:25:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1567;0.1566;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;14/08/2026 19:20:00;14/08/2026 19:25:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;0.1567;0.1566;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;14/08/2026 19:20:00;14/08/2026 19:25:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;CALL;0.1567;0.1566;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;14/08/2026 19:20:00;14/08/2026 19:25:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;CALL;0.1567;0.1566;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;14/08/2026 19:25:00;14/08/2026 19:30:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1566;0.1566;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;14/08/2026 19:25:00;14/08/2026 19:30:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;0.1566;0.1566;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;14/08/2026 19:25:00;14/08/2026 19:30:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;CALL;0.1566;0.1566;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;14/08/2026 19:25:00;14/08/2026 19:30:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;CALL;0.1566;0.1566;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;14/08/2026 19:30:00;14/08/2026 19:35:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1566;0.1572;WIN;1.8;5.0;4.0
TREINO_REPLAY;14/08/2026 19:30:00;14/08/2026 19:35:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;0.1566;0.1572;WIN;1.8;5.0;4.0
TREINO_REPLAY;14/08/2026 19:30:00;14/08/2026 19:35:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;CALL;0.1566;0.1572;WIN;1.8;5.0;4.0
TREINO_REPLAY;14/08/2026 19:30:00;14/08/2026 19:35:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;CALL;0.1566;0.1572;WIN;1.8;5.0;4.0
TREINO_REPLAY;15/08/2026 12:20:00;15/08/2026 12:25:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1587;0.1583;WIN;1.8;5.0;4.0
